project,stage,subject,record,matrix,band,component,component_1based,selected_order,edge_group,eigenvalue,matrix_path,epochs_path,gof,rv,x_mm,y_mm,z_mm,ori_x,ori_y,ori_z,amplitude,fit_error,dist_left_M1_mm,in_left_M1,dist_left_S1_mm,in_left_S1,dist_SMA_mm,in_SMA,dist_left_PMd_mm,in_left_PMd,dist_right_M1_mm,in_right_M1,dist_right_S1_mm,in_right_S1,dist_right_PMd_mm,in_right_PMd,roi_names,roi_count,roi_weights,best_roi,best_roi_weight,nearest_roi,nearest_roi_dist_mm,eigscore,eigengap,weighted_contra,weighted_ipsi,locality,contrast_contra,contrast_ipsi,contra_score,ipsi_score,gof_norm,gof_coef,final_score
pr_AstroSync,exp,21EC,EPOCHS_qm_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_qm_rec_calib.hdf","[10, 14]",55,56,9,last5,0.8656201822491641,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\21EC\MATRIX_[10, 14]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\21EC\EPOCHS_qm_rec_calib.hdf,61.256729903224226,38.743270096775774,-39.17402712962555,-65.03544860068222,3.5722220982383637,-0.12580993463965445,-0.9880466700500334,-0.0890821988334714,0.0004178362273644594,,66.65323987470734,False,59.83910472105587,False,89.34299972779021,False,78.27242921419467,False,100.41769909961768,False,100.80652266393571,False,102.53811103004179,False,,0,,,0.0,left_S1,59.83910472105587,1.863,0.007560579668468681,0.447006922498382,0.13383870080294105,0.6785714285714286,0.24862561656615537,0.07507910571608457,0.750333048479427,0.22465781920493677,0.6125672990322423,0.8601076784515878,3.4042594826043553
pr_AstroSync,exp,21EC,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 15]",0,1,0,first5,0.1967215823537726,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\21EC\MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\21EC\EPOCHS_qm_rec_calib.hdf,65.00281050975838,34.997189490241624,-50.73056841682773,-9.054417673441069,49.702032915326285,0.7186289862747129,0.5082200441779903,-0.4746417246529219,0.00034626799761425605,,21.90946065886668,True,22.808351466114587,True,51.495400735955016,False,23.610483404237716,True,88.23392951912331,False,95.0944603572094,False,78.98910424398096,False,left_M1;left_S1;left_PMd,3,1;0.8;0.6,left_M1,1.0,left_M1,21.90946065886668,1.407,0.039182637828035216,0.9478675553051954,0.08343661937070894,0.6428571428571428,0.47093905002079256,0.03428220083460151,1.557210983715678,0.13707444610902184,0.6500281050975838,0.9200449681561342,4.7564611716821386
pr_AstroSync,exp,21EC,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 15]",1,2,1,first5,0.23590422018180782,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\21EC\MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\21EC\EPOCHS_qm_rec_calib.hdf,63.92180902024408,36.07819097975592,43.02989418335168,-0.6055889431133682,49.7746602269041,0.6185613671922514,-0.7064535896541914,0.3439551724890325,0.0005421189383746496,,82.6545673185749,False,89.99481342454645,False,44.13986495747327,False,71.68457322092972,False,25.20858457387465,True,29.496512005927805,True,17.869803841437253,True,right_M1;right_S1;right_PMd,3,1;0.8;0.6,right_M1,1.0,right_PMd,17.869803841437253,1.175,0.03945398556670274,0.7171659161338058,1.3751968548475784,0.4821428571428571,0.15219514700367362,0.31234928583024857,1.0629423399840336,2.038238195577661,0.6392180902024408,0.9027489443239054,7.206952746245814
pr_AstroSync,exp,21EC,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 15]",2,3,2,first5,0.27535820574851055,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\21EC\MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\21EC\EPOCHS_qm_rec_calib.hdf,47.62209563225715,52.37790436774285,-51.41394812564591,-8.84476669487026,47.37634260527002,-0.34740271283273816,0.9034683683155397,0.25111006067003816,0.00020990983346448334,,23.27312527819798,True,23.61238071882342,True,52.57707538324524,False,24.9658579756611,True,89.13611439987558,False,95.8910204780363,False,79.88526932127864,False,left_M1;left_S1;left_PMd,3,1;0.8;0.6,left_M1,1.0,left_M1,23.27312527819798,0.968,0.10039797652376281,0.5428716898002819,0.09449709499307578,0.5892857142857143,0.2980888845739972,0.042832966574855795,0.8627782212897338,0.15018288311399544,0.4762209563225715,0.6419535301161146,1.7716534400103865
pr_AstroSync,exp,21EC,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 15]",3,4,3,first5,0.37575618227227336,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\21EC\MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\21EC\EPOCHS_qm_rec_calib.hdf,17.156822640532894,82.8431773594671,-82.80769103411231,-18.66614653213643,-5.294835229344834,0.9808984461669578,-0.19321244928045997,-0.022520829254126885,0.00011689055310385128,,77.30761125887987,False,71.24901421019345,False,104.99419569235467,False,82.91384989329741,False,133.793775144684,False,137.7973661564517,False,127.07937637535382,False,,0,,,0.0,left_S1,71.24901421019345,0.508,0.10039797652376281,0.23923890599014325,0.10062794712264844,0.4821428571428571,0.17469371127539476,0.08836739408085523,0.3545862356639623,0.14914499305678253,0.17156822640532896,0.0,0.28158685099643727
pr_AstroSync,exp,21EC,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 15]",4,5,4,first5,0.37886976819717766,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\21EC\MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\21EC\EPOCHS_qm_rec_calib.hdf,26.875858098799004,73.124141901201,-47.88146389140897,-39.31013619146295,49.471588202629476,-0.34202413291273936,-0.2654305140587175,0.9014245030571412,6.723022547249018e-05,,20.449684960899653,True,11.29881054034531,True,58.94856711798548,False,37.65922722772473,False,85.51678440729012,False,90.39772703659825,False,82.34647139511934,False,left_M1;left_S1,2,1;0.8,left_M1,1.0,left_S1,11.29881054034531,0.494,0.008161307349663693,0.38111379261141354,0.24917787996323876,0.3571428571428571,0.19233480671951966,0.12641546562326186,0.5172258614012041,0.3381699799501098,0.26875858098799005,0.3100137295807841,0.558084494123066
pr_AstroSync,exp,21EC,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 15]",51,52,5,last5,0.7386711979138356,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\21EC\MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\21EC\EPOCHS_qm_rec_calib.hdf,52.01488959312528,47.98511040687472,9.445110176248795,-59.71207422369783,34.26246848557893,-0.6444836788739435,-0.21230601875470578,0.7345522051329192,0.0002038658163690904,,61.75055109576549,False,62.00021564435068,False,59.47829373857018,False,67.44475645273762,False,49.52812024750099,False,47.51050652578006,False,59.084201215123734,False,,0,,,0.0,right_S1,47.51050652578006,1.039,0.04297326152697589,0.2718607911094751,0.23809483650413985,0.5,0.20592542367108493,0.15424442474401168,0.40779118666421266,0.35714225475620975,0.5201488959312528,0.7122382334900046,1.4193077051998892
pr_AstroSync,exp,21EC,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 15]",52,53,6,last5,0.746014775688108,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\21EC\MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\21EC\EPOCHS_qm_rec_calib.hdf,75.13514561514228,24.864854384857722,60.73654130705727,-57.62422547868779,2.7107711173123343,-0.2536056090391024,0.6802423310710017,0.6877169229290462,0.0003471192932793733,,115.44820863922104,False,117.24897797799368,False,97.00972599002894,False,114.7888471603849,False,67.69214821372462,False,59.52800935104767,False,79.83725199441541,False,,0,,,0.0,right_S1,59.52800935104767,1.077,0.04494258860983069,0.1028791516146158,0.4013175889916916,0.6785714285714286,0.057308914913678635,0.19735777802702378,0.17269000449596225,0.6736402386646252,0.7513514561514227,1.0,1.9049254735405032
pr_AstroSync,exp,21EC,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 15]",53,54,7,last5,0.7909573642979387,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\21EC\MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\21EC\EPOCHS_qm_rec_calib.hdf,58.864170185859656,41.135829814140344,-25.033406886073216,-81.29190848731528,-1.6066822748227576,0.19191977133481897,0.7169944928207583,-0.6701385667423524,0.00024356966956190298,,81.98267368997985,False,76.10782839286948,False,99.23960658828524,False,93.26861405172146,False,101.61677704469994,False,99.99006900457049,False,107.25099504605622,False,,0,,,0.0,left_S1,76.10782839286948,1.331,0.04494258860983069,0.12972507572669453,0.16610651951104072,0.6428571428571428,0.11299850860288918,0.18303411008252446,0.21311976726528387,0.2728892820538526,0.5886417018585965,0.8218267229737546,1.2314645358011331
pr_AstroSync,exp,21EC,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 15]",54,55,8,last5,0.8125678805461152,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\21EC\MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\21EC\EPOCHS_qm_rec_calib.hdf,64.13985570056707,35.86014429943293,-45.12012431337198,-57.13211316058836,-8.375170004566236,0.37078103105837,0.9194983591625825,0.1305534162885466,0.0005518687749803563,,72.9731190445783,False,66.26498240677455,False,95.16292244070914,False,82.77213125954275,False,108.73074084277987,False,109.4131106312979,False,109.10856811609543,False,,0,,,0.0,left_S1,66.26498240677455,1.467,0.03977699147990088,0.47490061718692556,0.1313660714083364,0.6964285714285714,0.22260786002632238,0.04826875766455394,0.805634975584963,0.2228531568534278,0.6413985570056707,0.9062376912090733,2.990519606280564
pr_AstroSync,exp,21EC,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 15]",55,56,9,last5,0.852344872026016,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\21EC\MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\21EC\EPOCHS_qm_rec_calib.hdf,74.92579532857995,25.07420467142005,22.704711015684456,-38.8935386567509,39.64197454823663,-0.7638930693950137,0.6327253750328685,-0.12698810306395084,0.00038467591132365083,,62.73472392412112,False,66.47191474998137,False,43.983018156516955,False,61.58703959925962,False,25.81021502384538,True,24.578934067485566,True,35.35584552579833,False,right_M1;right_S1,2,1;0.8,right_M1,1.0,right_S1,24.578934067485566,1.753,0.03977699147990088,0.3429965828598275,0.6874571068844568,0.5714285714285714,0.12795892185078392,0.26373377043857854,0.5389946302083003,1.0802897393898607,0.7492579532857995,1.0,5.903033373380239
